48.2748 	48.2748 	48.2747 	48.2747 	48.2747 	48.2747 	48.2746 	48.2745 	48.2744 	48.2743 	48.2741 	48.2739 	48.2738 	48.2736 	48.2735 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.2757 	48.2757 	48.2757 	48.2757 	48.2757 	48.2756 	48.2755 	48.2754 	48.2752 	48.275 	48.2747 	48.2744 	48.2741 	48.2739 	48.2737 	48.2735 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.2773 	48.2773 	48.2773 	48.2772 	48.2772 	48.2771 	48.277 	48.2768 	48.2765 	48.2761 	48.2757 	48.2752 	48.2748 	48.2743 	48.274 	48.2737 	48.2735 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.2798 	48.2798 	48.2798 	48.2797 	48.2796 	48.2795 	48.2793 	48.2789 	48.2785 	48.2779 	48.2773 	48.2765 	48.2757 	48.2751 	48.2745 	48.2741 	48.2737 	48.2735 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.2839 	48.2839 	48.2838 	48.2837 	48.2835 	48.2833 	48.283 	48.2825 	48.2818 	48.2808 	48.2797 	48.2785 	48.2773 	48.2762 	48.2753 	48.2746 	48.2741 	48.2738 	48.2735 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.2904 	48.2903 	48.2902 	48.2901 	48.2898 	48.2895 	48.2889 	48.2881 	48.287 	48.2855 	48.2837 	48.2818 	48.2799 	48.2781 	48.2766 	48.2755 	48.2747 	48.2742 	48.2738 	48.2735 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.3008 	48.3007 	48.3006 	48.3003 	48.2999 	48.2993 	48.2984 	48.2971 	48.2953 	48.293 	48.2902 	48.287 	48.2839 	48.2811 	48.2787 	48.277 	48.2757 	48.2748 	48.2742 	48.2738 	48.2735 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.3175 	48.3174 	48.3171 	48.3167 	48.3161 	48.3152 	48.3137 	48.3116 	48.3087 	48.305 	48.3004 	48.2954 	48.2904 	48.2859 	48.2821 	48.2793 	48.2772 	48.2758 	48.2748 	48.2742 	48.2738 	48.2736 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.3444 	48.3441 	48.3437 	48.3431 	48.3421 	48.3405 	48.3382 	48.3349 	48.3303 	48.3242 	48.3169 	48.3089 	48.3009 	48.2936 	48.2876 	48.283 	48.2796 	48.2773 	48.2758 	48.2748 	48.2742 	48.2738 	48.2736 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
48.3874 	48.387 	48.3864 	48.3853 	48.3837 	48.3813 	48.3776 	48.3722 	48.3648 	48.3551 	48.3434 	48.3305 	48.3176 	48.306 	48.2963 	48.2889 	48.2836 	48.2799 	48.2775 	48.2759 	48.2749 	48.2742 	48.2738 	48.2736 	48.2734 	48.2733 	48.2732 	48.2732 	48.2732 	48.2732 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	48.2731 	
